ref;extension;title
523631;jpg;Self-Portrait
5665078;webp;Françoise Marguerite de Sévigné, Countess of Grignan
390136;jpg;Maria Charlotta Silfverstjerna
385435;webp;Self-Portrait
381280;jpg;Maria Ulrika Dævel
382555;webp;Countess Jacqueline Elisabet Gyldenstolpe
380702;jpg;The Poet Gustaf Fredrik Gyllenborg
396922;jpg;Self-Portrait
383358;jpg;Tytön pää
399658;webp;Self-Portrait, Black Background
620206;jpg;Frans Hals, Self-Portrait, copy
432368;jpg;The Sick Woman
483310;jpg;Man
379321;webp;Countess Ulrika Eleonora von Fersen
465109;webp;Tilanomistaja, tuomari Albert Johan Lignell
398016;jpg;Clock-Maker
475551;jpg;Esikuntakapteeni Danielsson
493391;jpg;Poika
387857;jpg;Maria Juliana Bedoire
380794;jpg;Lady Werner
394584;jpg;Self-portrait ’en face’
542119;jpg;Joh. Theodor Eller
469856;webp;Gustaf Fredrik Wrede
485785;webp;Gustaf Borgström
457364;webp;Composer Leevi Madetoja
382262;jpg;Young soldier
380051;webp;Catharina Grill (?)
380748;jpg;Sofia Magdalena, Queen of Denmark
624508;webp;Parson of Laihia Samuel Wacklin(1710-1780), the artist's brother
413792;webp;Filippo Lippi's Self-Portrait, copy
3165113;webp;Emil Kjöllerfeldt
455273;jpg;Kauppias Mikael Wacklin
479444;webp;Emerentia Cygnaeus
479352;jpg;An old woman with a distaff
381600;jpg;Countess Poaton (?)
396668;jpg;Self-Portrait
390894;webp;Jenny Lind "Norman"-roolissa
583618;jpg;Une jeune Mariée
407891;jpg;Self-Portrait
540140;webp;Newtonin rintakuva soikiossa
450920;jpg;Self-Portrait
451002;jpg;Self-Portrait
511825;webp;Self Portrait
404399;webp;Self Portrait
520950;webp;Ophelia
433911;webp;Schoolgirl
384608;jpg;Portrait of the Artist's Daughter Mary
409122;jpg;Prince Vasili Vasiljevits Dolgoruki
387416;jpg;Countess Antoinetta Virginia Gyllenborg
